ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,Borough,BBL
10014,1,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,615.0,36.0,1,1006150036.0
10014,2 TO 4,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,614.0,56.0,1,1006140056.0
10014,16,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,GARDEN COMPLEX,,614.0,24.0,1,1006140024.0
10014,18,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,GARDEN COMPLEX,,614.0,23.0,1,1006140023.0
10014,21,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,615.0,46.0,1,1006150046.0
10014,31,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,GARDEN COMPLEX,,615.0,51.0,1,1006150051.0
10014,33,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,615.0,52.0,1,1006150052.0
10014,42,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,614.0,10.0,1,1006140010.0
10014,46,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,614.0,9.0,1,1006140009.0
10014,51,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,624.0,53.0,1,1006240053.0
10014,52,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,623.0,38.0,1,1006230038.0
10014,63,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,GARDEN COMPLEX,,624.0,59.0,1,1006240059.0
10014,65,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,624.0,60.0,1,1006240060.0
10014,75,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,624.0,7504.0,1,1006247504.0
10014,76,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,623.0,26.0,1,1006230026.0
10014,78,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,623.0,24.0,1,1006230024.0
10014,90,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,634.0,60.0,1,1006340060.0
10014,99,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,624.0,1.0,1,1006240001.0
10014,110,BANK,ST,,,,NEW YORK,MULTIPLE DWELLING A,,,634.0,16.0,1,1006340016.0
